1,Unidad de Investigación - Estado,Estados de las unidades de investigación
2,Unidad de Investigación - Tipo,
3,Producto - Tipología,""
5,Artículo - Tipo,
6,Patente - Estado,
7,Ciclo - Tipo,
8,Petición - Estado,
9,Obra -Tipo,
10,Área y/o Especialidad de Conocimiento,
11,Artículo - Categoría,
12,Libros resultados de investigación - Categoría,
13,Capítulo de Libro - Categoría,
14,Patente - Tipo,
15,Patente - Categoría,
16,Variedad Vegetal - Categoría,
17,Nueva Raza Animal - Categoría,
18,Poblaciones mejoradas de razas pecuarias - Categoría,
19,Obras o productos de investigación-creación en Artes Arquitectura y Diseño - Categoría,
20,Nota Científica - Categoría,
21,Unidad de Investigación - Documento,
22,Artículo - Documento,
23,Libros resultado de investigación - Documento,
24,Capítulo de Libro - Documento,
25,Patente - Documento,
26,Variedad Vegetal - Documento,
27,Nueva Raza Animal - Documento,
28,Poblaciones mejoradas de razas pecuarias - Documento,
29,Obras o productos de investigación-creación en Artes Arquitectura y Diseño - Documento,
30,Nota Científica - Documento,
31,Participante - Tipo,
32,Diseño Industrial - Categoría,
33,Esquema de circuito integrado - Categoría,
34,Software - Categoría,
35,Planta piloto - Categoría,
36,Prototipo industrial - Categoría,
37,Signos distintivos - Categoría,
38,Productos nutraceúticos - Categoría,
39,Colección científica - Categoría,
40,Nuevo registro científico - Categoría,
41,Planta piloto y Prototipo industrial - Tipo,
42,Diseño Industrial - Documento,
43,Esquema de circuito integrado - Documento,
44,Software - Documento,
45,Planta piloto - Documento,
46,Prototipo industrial - Documento,
47,Signos distintivos - Documento,
48,Productos nutraceúticos - Documento,
49,Colección científica - Documento,
50,Nuevo registro científico - Documento,
51,Evento - Tipo,
52,Dirección de Tesis y Trabajo de Grado - Tipo,
53,Unidad de Investigación - Línea de Investigación,
54,Convocatoria -Tipología,
55,Certificado de radicación-avalada por la OTRI-Bogotá,"Certificado de radicación de tramite ante la entidad correspondiente (ICA), avalada por la OTRI-Bogotá"
56,Secreto empresarial - Documento,
57,Secreto empresarial - Categoría,""
58,Empresa de base tecnológica - Documento,Empresa de base tecnológica (Spin- off y Start-up) 
59,Empresa de base tecnológica - Categoría,
60,Nueva Raza Animal - Estado,
61,Variedad vegetal- Ciclo,
63,Innovación generada en la gestión empresarial - Documento,
64,Variedad vegetal - Estado,
65,Evento - Participación,Evento - Participación
66,Empresas creativas y culturales - Documento,
67,Productos resultados de la creación o investigación-creación - Documento,Productos resultados - Documentos
69,Certificado de curaduría o reconocimiento recibido por la obra,
70,Productos resultados de la creación o investigación-creación - Categoría,
71,Naturaleza - Tipo,
72,Empresas creativas y culturales - Categoría,
73,Innovación generada en la gestión empresarial - Categoría,
74,Innovación en procedimiento y servicio - Documento,
75,Innovación en procedimiento y servicio - Categoría,
76,Norma - Categoría,
77,Norma - Documento,
